#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 03 13 04 40 230  6.0  8.0    MM    MM    MM  MM 1024.4   8.7  11.0    MM   MM   MM    MM
2024 03 13 04 30 240  7.0  9.0    MM    MM    MM  MM 1024.4   8.7  11.0    MM   MM   MM    MM
2024 03 13 04 20 270  5.0  9.0   5.0    16  10.1 293 1024.3   8.7  11.0    MM   MM   MM    MM
2024 03 13 04 10 250  7.0 11.0    MM    MM    MM  MM 1024.0   9.2  11.0    MM   MM   MM    MM
2024 03 13 04 00 260  6.0  8.0    MM    MM    MM  MM 1023.9   9.5  11.0    MM   MM +2.0    MM
2024 03 13 03 50 260  5.0  8.0   4.7    15   9.7 292 1023.8   9.5  11.0    MM   MM   MM    MM
2024 03 13 03 40 260  5.0  8.0    MM    MM    MM  MM 1023.8   9.5  11.0    MM   MM   MM    MM
2024 03 13 03 30 260  5.0  8.0    MM    MM    MM  MM 1023.6   9.4  11.0    MM   MM   MM    MM
2024 03 13 03 20 270  6.0  8.0   4.9    15   9.7 299 1023.6   9.4  11.0    MM   MM   MM    MM
2024 03 13 03 10 270  6.0  9.0    MM    MM    MM  MM 1023.6   9.3  11.0    MM   MM   MM    MM
2024 03 13 03 00 270  6.0  9.0    MM    MM    MM  MM 1023.6   9.3  11.0    MM   MM +2.5    MM
2024 03 13 02 50 270  6.0  9.0   5.3    15  10.1 288 1023.5   9.4  11.0    MM   MM   MM    MM
2024 03 13 02 40 260  6.0  9.0    MM    MM    MM  MM 1023.3   9.4  11.0    MM   MM   MM    MM
2024 03 13 02 30 260  6.0  9.0    MM    MM    MM  MM 1023.1   9.4  11.0    MM   MM   MM    MM
2024 03 13 02 20 260  6.0  9.0   5.0    15   9.8 291 1022.8   9.4  11.0    MM   MM   MM    MM
2024 03 13 02 10 270  5.0  9.0   5.0    MM   9.8 291 1022.6   9.4  11.0    MM   MM   MM    MM
2024 03 13 02 00 290  5.0  9.0    MM    MM    MM  MM 1022.4   9.4  11.0    MM   MM +2.1    MM
2024 03 13 01 50 280  6.0  9.0   4.7    13   9.2 294 1022.4   9.6  11.0    MM   MM   MM    MM
2024 03 13 01 40 270  6.0  8.0    MM    MM    MM  MM 1022.4   9.5  11.0    MM   MM   MM    MM
2024 03 13 01 30 260  6.0  9.0    MM    MM    MM  MM 1022.2   9.5  11.0    MM   MM   MM    MM
2024 03 13 01 20 260  6.0  9.0   4.6    14   9.2 301 1022.1   9.4  11.0    MM   MM   MM    MM
2024 03 13 01 10 260  6.0 10.0   4.6    MM   9.2 301 1021.9   9.4  11.0    MM   MM   MM    MM
2024 03 13 01 00 260  6.0  8.0    MM    MM    MM  MM 1021.9   9.3    MM    MM   MM +2.4    MM
2024 03 13 00 50 260  7.0  9.0   4.5    13   8.9 298 1021.7   9.2  11.0    MM   MM   MM    MM
